;1;2;3;Total;;Ativos;;Total;
11;A - Ensino e Pesquisa;EACH;2022;4692;;120.095.721;25.595,85;136.830.706;29.162,55
17;A - Ensino e Pesquisa;ECA;2022;2364;;98.116.860;41.504,59;149.887.431;63.404,16
23;A - Ensino e Pesquisa;EE;2022;428;;38.264.702;89.403,51;71.126.680;166.183,83
29;A - Ensino e Pesquisa;EEFE;2022;473;;33.636.490;71.113,09;44.890.221;94.905,33
35;A - Ensino e Pesquisa;EEFERP;2022;276;;14.909.204;54.018,86;16.946.008;61.398,58
41;A - Ensino e Pesquisa;EEL;2022;2168;;43.276.717;19.961,59;51.182.737;23.608,27
47;A - Ensino e Pesquisa;EERP;2022;598;;63.264.015;105.792,67;87.954.842;147.081,68
53;A - Ensino e Pesquisa;EESC;2022;2619;;139.415.737;53.232,43;201.901.245;77.090,97
59;A - Ensino e Pesquisa;EP;2022;5079;;245.212.775;48.279,74;331.311.188;65.231,58
65;A - Ensino e Pesquisa;ESALQ;2022;2327;;174.568.625;75.018,75;261.802.171;112.506,30
71;A - Ensino e Pesquisa;FAU;2022;1328;;62.340.615;46.943,23;94.540.806;71.190,37
77;A - Ensino e Pesquisa;FCF;2022;933;;60.856.234;65.226,40;90.891.497;97.418,54
83;A - Ensino e Pesquisa;FCFRP;2022;457;;77.434.043;169.439,92;97.344.380;213.007,40
89;A - Ensino e Pesquisa;FD;2022;2460;;57.527.437;23.385,14;79.619.409;32.365,61
95;A - Ensino e Pesquisa;FDRP;2022;522;;18.080.312;34.636,61;20.881.332;40.002,55
101;A - Ensino e Pesquisa;FE;2022;936;;70.406.993;75.221,15;115.212.310;123.090,07
107;A - Ensino e Pesquisa;FEA;2022;3047;;62.944.117;20.657,73;116.325.134;38.176,94
113;A - Ensino e Pesquisa;FEARP;2022;1411;;46.060.544;32.643,90;53.129.512;37.653,80
119;A - Ensino e Pesquisa;FFCLRP;2022;2006;;125.673.121;62.648,61;162.322.512;80.918,50
125;A - Ensino e Pesquisa;FFLCH;2022;9138;;214.115.811;23.431,36;338.240.148;37.014,68
131;A - Ensino e Pesquisa;FM;2022;1480;;207.855.477;140.442,89;281.595.109;190.266,97
137;A - Ensino e Pesquisa;FMRP;2022;1439;;234.832.607;163.191,53;315.144.532;219.002,45
143;A - Ensino e Pesquisa;FMVZ;2022;493;;88.845.384;180.213,76;120.268.178;243.951,68
149;A - Ensino e Pesquisa;FO;2022;746;;87.107.754;116.766,43;115.638.787;155.011,78
155;A - Ensino e Pesquisa;FOB;2022;658;;78.468.346;119.252,81;113.663.030;172.740,17
161;A - Ensino e Pesquisa;FORP;2022;430;;62.721.250;145.863,37;86.614.656;201.429,43
167;A - Ensino e Pesquisa;FSP;2022;596;;78.349.998;131.459,73;118.834.030;199.385,96
173;A - Ensino e Pesquisa;FZEA;2022;1453;;66.075.876;45.475,48;77.443.260;53.298,87
179;A - Ensino e Pesquisa;IAG;2022;330;;55.279.165;167.512,62;70.291.985;213.006,02
185;A - Ensino e Pesquisa;IAU;2022;289;;23.888.463;82.659,04;27.650.716;95.677,22
191;A - Ensino e Pesquisa;IB;2022;767;;77.695.627;101.298,08;108.105.603;140.946,03
197;A - Ensino e Pesquisa;ICB;2022;214;;117.396.520;548.581,87;168.675.085;788.201,33
203;A - Ensino e Pesquisa;ICMC;2022;1295;;69.103.429;53.361,72;93.009.238;71.821,81
209;A - Ensino e Pesquisa;IF;2022;1334;;109.004.458;81.712,49;155.810.749;116.799,66
215;A - Ensino e Pesquisa;IFSC;2022;475;;72.615.209;152.874,12;88.087.959;185.448,33
221;A - Ensino e Pesquisa;IGc;2022;494;;43.569.057;88.196,47;66.852.561;135.329,07
227;A - Ensino e Pesquisa;IME;2022;1658;;96.735.008;58.344,40;131.305.738;79.195,26
233;A - Ensino e Pesquisa;IO;2022;218;;43.509.675;199.585,67;60.607.633;278.016,67
239;A - Ensino e Pesquisa;IP;2022;454;;54.409.749;119.845,26;79.590.886;175.310,32
245;A - Ensino e Pesquisa;IQ;2022;817;;84.037.956;102.861,64;116.807.991;142.971,84
251;A - Ensino e Pesquisa;IQSC;2022;307;;50.010.445;162.900,47;58.212.234;189.616,40
257;A - Ensino e Pesquisa;IRI;2022;308;;12.848.267;41.715,15;14.364.907;46.639,31
